Movie Titles,User Ratings,Movie Generes,Cast
Trap,63,"['crime', 'thriller']","['Josh Hartnett', 'Ariel Donoghue', 'Saleka', 'Alison Pill', 'Hayley Mills', 'Jonathan Langdon', 'Mark Bacolcol', 'Marnie McPhail', 'Kid Cudi']"
The Jack in the Box: Rises,68,['horror'],"['Nicholas Anscombe', 'Isabella Colby Browne', 'Derek Nelson', 'Georgia Conlan', 'James Reynard', 'Leona Clarke', 'Georgina Jane', 'Oli Meredith']"
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",73,"['animation', 'adventure', 'action', 'fantasy', 'family']","['Annouck Hautbois', 'Benjamin Bollen', 'Marie Nonnenmacher', 'Thierry Kazazian', 'Fanny Bloc', 'Antoine Tomé', ""Alexandre N'Guyen"", 'Martial Le Minoux', 'Jessie Lambotte']"
The Fall Guy,72,"['action', 'comedy']","['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson', 'Hannah Waddingham', 'Teresa Palmer', 'Stephanie Hsu', 'Winston Duke', 'Ben Knight', 'Matuse Paz']"
IF,73,"['comedy', 'fantasy', 'family']","['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski', 'Fiona Shaw', 'Steve Carell', 'Phoebe Waller-Bridge', 'Louis Gossett Jr.', 'Alan Kim', 'Liza Colón-Zayas']"
The Strangers: Chapter 1,59,"['horror', 'thriller']","['Madelaine Petsch', 'Froy Gutierrez', 'Gabriel Basso', 'Ema Horvath', 'Richard Brake', 'Rachel Shenton', 'Ella Bruccoleri', 'George Young', 'Janis Ahern']"
Immaculate,63,"['horror', 'mystery', 'thriller']","['Sydney Sweeney', 'Álvaro Morte', 'Simona Tabasco', 'Benedetta Porcaroli', 'Giorgio Colangeli', 'Dora Romano', 'Giulia Heathfield Di Renzi', 'Giampiero Judica', 'Betti Pedrazzi']"
The Last Breath,67,"['thriller', 'horror']","['Kim Spearman', 'Jack Parr', 'Alexander Arnold', 'Erin Mullen', 'Arlo Carter', 'Julian Sands', 'Maxime Durand']"
Something in the Water,60,"['thriller', 'horror']","['Hiftu Quasem', 'Lauren Lyle', 'Natalie Mitson', 'Nicole Rieko Setsuko', 'Ellouise Shakespeare-Hart', 'Gabriel Prevost']"
Deadpool 2,75,"['action', 'comedy', 'adventure']","['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Leslie Uggams', 'Karan Soni', 'Brianna Hildebrand']"
Yu☆Gi☆Oh!,71,"['adventure', 'animation', 'fantasy']","['Megumi Ogata', 'Hikaru Midorikawa', 'Toshiyuki Morikawa', 'Yumi Kakazu', 'Ryotaro Okiayu', 'Yukana', 'Eiko Yamada', 'Konomi Maeda', 'Emi Uwagawa']"
Atlas,68,"['science', 'action']","['Jennifer Lopez', 'Simu Liu', 'Sterling K. Brown', 'Gregory James Cohan', 'Abraham Popoola', 'Lana Parrilla', 'Mark Strong', 'Briella Guiza', 'Adia Smith-Eriksson']"
The Watchers,65,"['horror', 'fantasy', 'mystery', 'thriller']","['Dakota Fanning', 'Georgina Campbell', 'Olwen Fouéré', 'Oliver Finnegan', 'Alistair Brammer', 'John Lynch', 'Siobhan Hewlett', 'Hannah Dargan', 'Emily Dargan']"
Autumn and the Black Jaguar,62,"['adventure', 'family']","['Lumi Pollack', 'Emily Bett Rickards', 'Wayne Charles Baker', 'Paul Greene', 'Kelly Hope Taylor', 'Lucrezia Pini', 'Letitia Brookes', 'K.C. Coombs', 'Airam Camacho']"
The Marvels,61,"['science', 'adventure', 'action']","['Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Samuel L. Jackson', 'Zawe Ashton', 'Gary Lewis', 'Park Seo-jun', 'Zenobia Shroff', 'Mohan Kapur']"
The Godfather,87,"['drama', 'crime']","['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden']"
Aliens,79,"['action', 'thriller', 'science']","['Sigourney Weaver', 'Carrie Henn', 'Michael Biehn', 'Paul Reiser', 'Lance Henriksen', 'Bill Paxton', 'William Hope', 'Jenette Goldstein', 'Al Matthews']"
Alienoid,69,"['science', 'action', 'fantasy', 'adventure']","['Ryu Jun-yeol', 'Kim Woo-bin', 'Kim Tae-ri', 'So Ji-sub', 'Yum Jung-ah', 'Jo Woo-jin', 'Kim Eui-sung', 'Lee Ha-nee', 'Shin Jung-keun']"
Late Night with the Devil,73,['horror'],"['David Dastmalchian', 'Laura Gordon', 'Ian Bliss', 'Fayssal Bazzi', 'Ingrid Torelli', 'Rhys Auteri', 'Georgina Haig', 'Josh Quong Tart', 'Steve Mouzakis']"
May the 12th Be with You,56,"['animation', 'comedy']","['Julie Kavner', 'Dan Castellaneta', 'Chris Edgerly', 'Tress MacNeille', 'Carolyn Omine', 'Maggie Roswell', 'Maurice LaMarche', 'Seth MacFarlane']"
